name,director,year,genre,likes,rating,critics,imbdScore,Torrent720,Torrent1080,cantComent,synopsis
Marnie,Alfred Hitchcock,1964,Action / Crime / Drama / Mystery / Romance / Thriller,76,73%,83%,7.1,https://yts.mx/torrent/download/786D00B60024ACBFA0EB65A2356CEE2A8FE96160,https://yts.mx/torrent/download/9A82C89C2966BB1542363FFBFF79C7FE7957523C,3,"Marnie Edgar is a habitual liar and a thief who gets jobs as a secretary and after a few months robs the firms in question, usually of several thousand dollars. When she gets a job at Rutland's, she also catches the eye of the handsome owner, Mark Rutland. He prevents her from stealing and running off, as is her usual pattern, but also forces her to marry him. Their honeymoon is a disaster and she cannot stand to have a man touch her, and on their return home, Mark has a private detective look into her past. When he has the details of what happened in her childhood to make her what she is, he arranges a confrontation with her mother realizing that reliving the terrible events that occurred in her childhood and bringing out those repressed memories is the only way to save her. —garykmcd"
Behind the Door,Irvin Willat,1919,Drama / Thriller / War,1,-,-,7.2,https://yts.mx/torrent/download/723619A3AB30367F45D9888B22D97DD2208A6777,https://yts.mx/torrent/download/43328EAA0BD1AF926459A01CCDFB731FE4748660,0,A German-American naval officer takes revenge against the German submarine commander who brutalized his wife.
Pale Flower,Masahiro Shinoda,1964,Action / Crime,1,-,-,7.7,https://yts.mx/torrent/download/4207145623284492055D2AF8798BDD0CDCEF1742,https://yts.mx/torrent/download/C4453B22C6AB94A327CA689E58CB470976701932,1,"Just released from prison after serving three years for murdering a member of a rival gang, Maraki, a middle-aged yakuza, returns to his old haunts in Tokyo largely out of loyalties despite not much liking that life or himself in the process. Those old routines include assuming his place within the Funada gang, reconnecting with Shinko, his twenty-three year old girlfriend, who wants a commitment from him (something he probably isn't willing to give), she threatening to accept another marriage proposal otherwise despite her love for him, and gambling at his usual illegal card den despite he not often winning. Although at first glance he thinks nothing has changed in three years, there are some major changes, especially that the Funada gang has merged with that rival gang partly to maintain the peace. One other change is that an innocent looking, young, upscale woman, Saeko, she the only female, has started gambling at that same card den, that innocent look beyond the fact that she likes to play big. He becomes her mentor and protector of sorts in he introducing her to an illegal card den with higher stakes, which is what she is seeking. In spending more and more time with her and in a chance encounter, Maraki not only begins to understand Saeko in she not being the total innocent her may have first assumed, especially in her curiosity with Yoh, the seeming drug addict cowering in the corner of the card den, but evaluates his ritualized life in the process. —Huggo"
Clash,Thanh Son Le,2009,Action / Crime / Thriller,2,-,-,6,https://yts.mx/torrent/download/11DBF837FF70F2646CF67DDF14BE1087B64427E7,https://yts.mx/torrent/download/7CAC1C29E5F9BE19550DD7C896918913CD434C2C,0,"Trinh, a mercenary, must complete a series of organized crime jobs for her boss in order to win the release of her kidnapped daughter. She hires several mercenaries to help, including Quan, who she becomes attracted to. Trinh and Quan's relationship becomes complicated as it becomes evident that their motivations are not the same. —Anonymous"
The Eye,David Moreau,2008,Action / Drama / Horror / Mystery / Thriller,119,43%,22%,5.4,https://yts.mx/torrent/download/11AFFAE093CA952393974316AE1BC85837F60FFB,https://yts.mx/torrent/download/EC35AE7F5D1638AC2BF86B14EEDF9AB958FE10A6,12,"The violinist Sydney Wells has been blind since she was five years old due to an accident. She submits to a surgery of cornea transplantation to recover her vision, and while recovering from the operation, she realizes that she's having strange visions. With the support of Dr. Paul Faulkner, Sidney finds who the donor of her eyes and begins a journey to find out the truth behind her visions. —Genesis Rojas, Caracas, Venezuela."
Courted,Christian Vincent,2015,Comedy / Crime / Drama,1,-,-,6.6,https://yts.mx/torrent/download/F9EE8F4231DF42614DB11D813A614AC59E5AC5F3,https://yts.mx/torrent/download/A90416674B328CAD9CEFFD415BF6FE1D521A2BC9,0,"If you have to go to court, you pray not to have to appear before Michel Racine, an awfully ruthless judge. Unfortunately for him, this is what happens to Martial Beclin, a man accused of kicking to death his baby daughter. And you can easily guess what his feelings are on the first day of his trial. But neither Martial nor Michel knows it yet: this time, things may turn out differently. Why? Because judge Racine stops being himself the moment he recognizes among the jurors Ditte, a woman doctor he has been secretly in love for a couple of years... —Guy Bellinger"
Wyszynski - zemsta czy przebaczenie,Tadeusz Syka,2021,Biography / Drama / War,1,-,-,4.7,https://yts.mx/torrent/download/C77782E4A07163453DDE3610704CF2DCB62689D1,https://yts.mx/torrent/download/EBF89D0DFE8B873AC2998489C08C17740FA20CA8,1,
Marie's Story,Jean-Pierre Améris,2014,Biography / Drama,1,-,-,7.5,https://yts.mx/torrent/download/DF18B702658C31816E0119C0B6EFB5540D2593E4,https://yts.mx/torrent/download/3AD3AFEC5FCB51961C829D07D4944CE9B6DA1C6B,1,Marie Heurtin is born both blind and deaf. Sister Marguerette wins her trust and teaches her how to express herself.
Shriek If You Know What I Did Last Friday the Thirteenth,John Blanchard,2000,Comedy / Horror,3,-,-,4,https://yts.mx/torrent/download/7F507AD5AA3827FF442961CE151019F42CF9C939,https://yts.mx/torrent/download/123B15803CB87AD1CD211EB5292E7B867928A654,1,Another spoof of the Scream/I Know What You Did Last Summer horror genre involving a group of popular high school students stalked by a bumbling masked killer while a dogged reporter named Hagitha Utslay covers the story and the plight of the prime suspect and transfer student Dawson. —Anonymous
Assassination Tango,Robert Duvall,2002,Crime / Drama / Romance,0,-,-,5.8,https://yts.mx/torrent/download/6A5B5609D7B465616FE99371F97B925F6412DB2D,https://yts.mx/torrent/download/62AEEC4F774D3223D26934961672978DF3A9BF1C,1,"John J. is a seasoned hit man sent on a job to Argentina. When the General he's sent to kill delays his return to the country, John passes the time with Manuela, a beautiful dancer who becomes his teacher and guide into Argentina's sensual world of the tango. Spellbound by the rich and mysterious world Manuela has shown him, his idyll is shattered when the reality of why he's there comes crashing down around him. —Press kit"
